start_idrelation,end_id,
act,b,of section is
act,g,of section is
act,d,of section is
registrant,if well known seasoned issuer defined,is
registrant,if well known issuer defined in rule 405 securities act,is
registrant,seasoned issuer,is
registrant,if known seasoned issuer defined in rule 405 securities act,is
registrant,issuer,is
registrant,known issuer defined in rule 405 securities act,is
registrant,if well known issuer defined in rule 405 of securities act,is
registrant,known defined,is
registrant,well known issuer,is
registrant,seasoned issuer defined in rule 405 of securities act,is
registrant,if seasoned issuer defined in rule 405 of securities act,is
registrant,if known seasoned issuer defined in rule 405,is
registrant,well known seasoned issuer defined in rule 405 of securities act,is
registrant,well known seasoned issuer,is
registrant,if seasoned issuer defined,is
registrant,well known issuer defined in rule 405,is
registrant,known seasoned issuer defined in rule 405 of securities act,is
registrant,seasoned issuer defined in rule 405,is
registrant,known seasoned issuer defined in rule 405,is
registrant,if known seasoned issuer defined,is
registrant,if known issuer defined in rule 405 securities act,is
registrant,known seasoned issuer,is
registrant,known issuer defined in rule 405 of securities act,is
registrant,if known issuer defined in rule 405 of securities act,is
registrant,well known issuer defined in rule 405 of securities act,is
registrant,well known seasoned issuer defined,is
registrant,if well known seasoned issuer defined in rule 405,is
registrant,issuer defined in rule 405 securities act,is
registrant,well known issuer defined in rule 405 securities act,is
registrant,if known issuer,is
registrant,seasoned issuer defined,is
registrant,if issuer defined in rule 405 of securities act,is
registrant,known issuer,is
registrant,known issuer defined,is
registrant,if well known seasoned issuer,is
registrant,well known seasoned issuer defined in rule 405 securities act,is
registrant,if seasoned issuer defined in rule 405,is
registrant,if well known issuer defined in rule 405,is
registrant,if issuer defined in rule 405 securities act,is
registrant,if issuer defined in rule 405,is
registrant,well known seasoned issuer defined in rule 405,is
registrant,if known seasoned issuer,is
registrant,issuer defined in rule 405 of securities act,is
registrant,known seasoned issuer defined,is
registrant,if well known issuer,is
registrant,issuer defined,is
registrant,seasoned defined,is
registrant,known issuer defined in rule 405,is
registrant,if known seasoned issuer defined in rule 405 of securities act,is
registrant,issuer defined in rule 405,is
registrant,if known issuer defined in rule 405,is
registrant,if issuer defined,is
registrant,seasoned issuer defined in rule 405 securities act,is
registrant,if well known seasoned issuer defined in rule 405 of securities act,is
registrant,well known issuer defined,is
registrant,if seasoned issuer defined in rule 405 securities act,is
registrant,known seasoned issuer defined in rule 405 securities act,is
registrant,if known issuer defined,is
registrant,if well known seasoned issuer defined in rule 405 securities act,is
registrant,if issuer,is
registrant,if well known issuer defined,is
registrant,if seasoned issuer,is
2,has subject to filing requirements for past 90 days,has
2,has subject to such filing requirements for past 90 days,has
2,has subject,has
2,has subject to filing requirements,has
2,has subject to such filing requirements,has
gaap,check mark,indicate by
registrant,report,filed
registrant,registered accounting firm,filed report by
registrant,accounting firm,filed report by
registrant,registered public accounting firm,filed report by
registrant,report on,filed
registrant,public accounting firm,filed report by
registrant,report on to its management,filed
u.k.,united kingdom,are to
u.k.,kingdom,are to
dollars,legal currency of states,are to
dollars,currency of states,are to
dollars,currency,are to
dollars,legal currency,are to
amounts,indian rupees,are in
amounts,rupees,are in
our statements,u.s. dollars,translated into
our financial statements,solely convenience,are presented for
our statements,ifrs,are prepared in
our financial statements,convenience of readers,are presented for
our statements,issued,are prepared as
our financial statements,ifrs,are prepared in
our statements,reporting standards,are prepared in
our financial statements,dollars,translated into
our financial statements,presented,are
our statements,dollars,translated into
our financial statements,u.s. dollars,translated into
our financial statements,prepared,are
our financial statements,issued by accounting board,are prepared as
our statements,presented,are
our financial statements,reporting standards,are prepared in
our statements,international reporting standards,are prepared in
our financial statements,solely convenience of readers,are presented for
our financial statements,international reporting standards,are prepared in
our statements,convenience of readers,are presented for
our financial statements,issued by international accounting standard board,are prepared as
our statements,convenience,are presented for
our financial statements,issued by accounting standard board,are prepared as
our financial statements,issued by international accounting board,are prepared as
our financial statements,convenience,are presented for
our statements,issued by international accounting standard board,are prepared as
our statements,solely convenience of readers,are presented for
our statements,solely convenience,are presented for
our statements,issued by international accounting board,are prepared as
our financial statements,issued,are prepared as
our statements,prepared,are
our statements,issued by accounting board,are prepared as
our statements,issued by accounting standard board,are prepared as
our year,march 31 such year,ended
our fiscal year,march 31,ended
references,our fiscal year ended march 31 such year,are to
our year,march 31 year,ended
our fiscal year,march 31 such year,ended
references,our year ended march 31 year,are to
our fiscal year,march 31 year,ended
references,our year ended march 31 of year,are to
references,our fiscal year ended march 31 year,are to
references,our fiscal year ended march 31 of such year,are to
references,our year ended march 31 of such year,are to
our year,march 31,ended
references,our year,are to
references,our year ended march 31 such year,are to
references,our fiscal year ended march 31 of year,are to
references,our year ended march 31,are to
references,our fiscal year ended march 31,are to
references,our fiscal year,are to
wipro,our trademark in united states,is
wipro,our trademark in states,is
wipro,our registered trademark in states,is
wipro,our registered trademark,is
our registered trademark,united states,is in
wipro,our registered trademark in united states,is
wipro,our trademark,is
discrepancies,listed rounding,listed due
discrepancies,table between totals of amounts,is in
our,www.wipro.com,website
information,our website,contained in
information,www.wipro.com,contained in
annual report,meaning of section 27a of securities act,looking statements within
annual report,meaning of section 27a of securities act,certain looking statements within
annual report,meaning of section 27a of securities act,certain statements within
report,meaning of section 27a of securities act,forward looking statements within
annual report,meaning,forward looking statements within
annual report,meaning,looking statements within
annual report,amended  21e,contains statements as
report,amended  21e,contains statements as
annual report,meaning of section 27a,certain statements within
annual report,21e of securities exchange act of 1934,contains statements as
report,meaning,certain forward looking statements within
report,meaning of section 27a of securities act of 1933,forward looking statements within
annual report,meaning of section 27a,forward looking statements within
report,meaning of section 27a of securities act,looking statements within
report,meaning of section 27a of securities act,certain statements within
annual report,meaning of section 27a,statements within
statements,information,may prove in
annual report,meaning of section 27a of securities act of 1933,certain looking statements within
report,meaning of section 27a,certain statements within
report,meaning of section 27a of securities act,certain looking statements within
annual report,meaning,statements within
report,meaning of section 27a,looking statements within
report,meaning of section 27a,statements within
annual report,meaning of section 27a of securities act of 1933,forward looking statements within
annual report,meaning of section 27a of securities act,certain forward looking statements within
report,meaning of section 27a,forward looking statements within
annual report,meaning of section 27a of securities act of 1933,certain forward looking statements within
report,21e of securities exchange act,contains statements as
report,meaning,certain statements within
annual report,meaning of section 27a,looking statements within
annual report,meaning,certain statements within
report,meaning of section 27a of securities act of 1933,certain statements within
report,meaning,statements within
report,meaning of section 27a of securities act,statements within
annual report,meaning of section 27a,certain looking statements within
report,meaning,looking statements within
report,meaning of section 27a of securities act of 1933,statements within
report,statements,contains
report,meaning of section 27a of securities act of 1933,certain looking statements within
report,meaning of section 27a,certain looking statements within
report,meaning of section 27a of securities act of 1933,certain forward looking statements within
annual report,meaning of section 27a of securities act of 1933,certain statements within
annual report,meaning of section 27a of securities act of 1933,looking statements within
annual report,meaning of section 27a,certain forward looking statements within
annual report,21e of securities exchange act,contains statements as
report,21e of securities exchange act of 1934,contains statements as
looking statements,historical information,may prove in
annual report,meaning of section 27a of securities act of 1933,statements within
report,meaning,forward looking statements within
annual report,statements,contains
annual report,meaning of section 27a of securities act,statements within
report,21e,contains statements as
report,meaning,certain looking statements within
annual report,meaning,certain forward looking statements within
annual report,meaning of section 27a of securities act,forward looking statements within
annual report,21e,contains statements as
annual report,meaning,certain looking statements within
statements,historical information,may prove in
report,meaning of section 27a of securities act of 1933,looking statements within
looking statements,information,may prove in
report,meaning of section 27a of securities act,certain forward looking statements within
report,meaning of section 27a,certain forward looking statements within
looking statements,our beliefs regarding future events,instead represent
looking statements,our beliefs,instead represent
many,their nature,are inherently uncertain by
statements,our beliefs regarding future events,instead represent
many,uncertain,are
statements,our beliefs regarding future events,represent
looking statements,our beliefs regarding future events,represent
statements,our beliefs,instead represent
statements,our beliefs,represent
many,their nature,are uncertain by
looking statements,our beliefs,represent
many,inherently uncertain,are
statements,results,reported
statements,result,contained as
looking statements,result,contained as
looking statements,result,contained herein as
results,those reflected in statements,differ from
results,those reflected,differ from
results,indication,be viewed as
statements,result,contained herein as
results,those reflected in statements,differ materially from
actual results,those reflected in looking statements,differ from
results,those reflected in looking statements,differ from
actual results,those,differ from
actual results,those reflected in forward looking statements,differ materially from
results,those reflected in forward looking statements,differ from
actual results,those,differ materially from
actual results,those reflected in looking statements,differ materially from
actual results,those reflected in forward looking statements,differ from
results,those,differ from
results,those reflected in looking statements,differ materially from
results,those,differ materially from
looking statements,results,reported
actual results,those reflected,differ from
results,those reflected in forward looking statements,differ materially from
results,viewed,be
actual results,those reflected in statements,differ materially from
results,indication of future performance,be viewed as
actual results,those reflected,differ materially from
results,those reflected,differ materially from
actual results,those reflected in statements,differ from
developments,technology,is in
rapid changes,technology,is in
strategic partnerships,parties,is with
investments,complementary businesses,is in
protections,securities litigation reform act,possible established in
protections,private securities litigation reform act of 1995,possible established in
protections,private securities litigation reform act,established in
protections,securities litigation reform act,established in
protections,private securities litigation reform act,possible established in
protections,securities litigation reform act of 1995,established in
we,ensure,wish
protections,private securities litigation reform act of 1995,established in
protections,securities litigation reform act of 1995,possible established in
such looking statements,report,is in
risk factors,time,emerge from
we,businesses,operate in
new risk factors,time to time,emerge from
risk factors,time to time,emerge from
we,rapidly changing businesses,operate in
new risk factors,time,emerge from
we,changing businesses,operate in
we,impact,can assess
readers,addition,should review information in
readers,addition,should carefully review information in
readers,information in annual report,should review
form,sec,on information is
readers,time to time,should review information from
readers,sec,should review
company,sec,in information is
readers,information on form,should review
readers,time,should carefully review information from
readers,information in report,should review
readers,information in report on form,should review
readers,information,should review
annual report,sec,in information is
readers,information in annual report on form,should carefully review
readers,information in report on form,should carefully review
readers,information in report,should carefully review
readers,information,should carefully review
readers,time to time,should carefully review information from
readers,information in annual report on form,should review
information,annual report,is in
readers,sec,should carefully review
readers,information on form,should carefully review
readers,information in annual report,should carefully review
readers,time,should review information from
information,company,is in
changes,registrant,is in
report,statements,contains
risk factors,forward looking statements,contains
risk factors,statements,contains
annual report,forward looking statements,contains
annual report,looking statements,contains
report,forward looking statements,contains
annual report,statements,contains
report,looking statements,contains
risk factors,looking statements,contains
our results,those anticipated in looking statements as result of certain factors including those,could differ materially from
our actual results,those anticipated in looking statements as result of factors,could differ materially from
our actual results,those,could differ from
our results,those anticipated as result of factors including those,could differ materially from
our actual results,those anticipated in statements as result of certain factors including those,could differ materially from
our actual results,those anticipated in forward looking statements,could differ materially from
our actual results,those anticipated as result of factors including those,could differ materially from
our actual results,those anticipated in looking statements as result of certain factors including those,could differ from
our actual results,those anticipated in looking statements as result of certain factors,could differ from
our actual results,those anticipated as result of factors,could differ from
our actual results,those anticipated in forward looking statements as result of certain factors,could differ from
our actual results,those anticipated as result of certain factors,could differ from
our results,those anticipated as result of certain factors,could differ materially from
our results,those anticipated in forward looking statements as result of certain factors,could differ materially from
our results,those anticipated in statements as result,could differ materially from
our actual results,those anticipated in forward looking statements as result of certain factors including those,could differ materially from
our actual results,those anticipated as result of certain factors including those,could differ materially from
our actual results,those anticipated in looking statements,could differ from
our results,those anticipated as result of factors,could differ from
our results,those anticipated,could differ from
our results,those anticipated in forward looking statements as result of certain factors including those,could differ from
our actual results,those anticipated in statements as result of factors,could differ from
our results,those anticipated in looking statements as result of factors including those,could differ materially from
our results,those anticipated in looking statements as result,could differ materially from
our actual results,those anticipated,could differ materially from
our actual results,those anticipated as result of factors including those,could differ from
our actual results,those anticipated in statements as result of certain factors,could differ materially from
our results,those anticipated in looking statements,could differ from
our actual results,those anticipated in looking statements as result of factors including those,could differ materially from
our results,those anticipated in statements,could differ from
our actual results,those anticipated in looking statements as result,could differ materially from
our results,those anticipated in statements as result of factors,could differ from
our results,those anticipated in forward looking statements as result of factors including those,could differ materially from
our results,those anticipated in forward looking statements as result,could differ materially from
our actual results,those anticipated in forward looking statements as result of factors,could differ from
our results,those anticipated in statements as result,could differ from
our results,those anticipated in looking statements as result,could differ from
our actual results,those anticipated as result,could differ from
our results,those anticipated in forward looking statements as result of factors,could differ from
our results,those anticipated in forward looking statements as result,could differ from
our actual results,those anticipated in forward looking statements as result of factors including those,could differ materially from
our results,those anticipated as result of factors including those,could differ from
our actual results,those anticipated in forward looking statements as result,could differ materially from
our results,those anticipated in looking statements as result of certain factors,could differ from
our results,those anticipated in statements as result of factors including those,could differ materially from
our results,those,could differ materially from
our results,those anticipated in statements as result of factors,could differ materially from
our results,those anticipated as result,could differ from
our results,those anticipated,could differ materially from
our results,those anticipated in looking statements as result of certain factors including those,could differ from
our actual results,those,could differ materially from
our actual results,those anticipated in statements as result of factors including those,could differ materially from
our actual results,those anticipated in forward looking statements,could differ from
our results,those anticipated in looking statements as result of factors,could differ materially from
our results,those anticipated in statements as result of certain factors,could differ from
our results,those anticipated as result of certain factors including those,could differ from
our actual results,those anticipated as result of factors,could differ materially from
our actual results,those anticipated in looking statements as result of factors,could differ from
our actual results,those anticipated in looking statements as result of certain factors including those,could differ materially from
our results,those anticipated in statements as result of certain factors including those,could differ materially from
our actual results,those anticipated in statements,could differ materially from
our results,those anticipated in statements,could differ materially from
our results,those anticipated in statements as result of certain factors including those,could differ from
our results,those anticipated in statements as result of certain factors,could differ materially from
our actual results,those anticipated in statements as result of certain factors including those,could differ from
our results,those anticipated in looking statements,could differ materially from
our actual results,those anticipated in forward looking statements as result of certain factors including those,could differ from
our actual results,those anticipated in statements as result of certain factors,could differ from
our results,those anticipated in forward looking statements,could differ materially from
our actual results,those anticipated in forward looking statements as result of factors including those,could differ from
our actual results,those anticipated in forward looking statements as result of certain factors,could differ materially from
our actual results,those anticipated in looking statements,could differ materially from
our actual results,those anticipated,could differ from
our actual results,those anticipated in statements as result of factors,could differ materially from
our results,those anticipated in forward looking statements as result of certain factors including those,could differ materially from
our actual results,those anticipated as result of certain factors including those,could differ from
our results,those anticipated as result of certain factors including those,could differ materially from
our results,those anticipated as result of factors,could differ materially from
our actual results,those anticipated as result of certain factors,could differ materially from
our results,those anticipated in looking statements as result of factors,could differ from
our actual results,those anticipated in statements as result,could differ from
our actual results,those anticipated in looking statements as result of factors including those,could differ from
our results,those anticipated in looking statements as result of factors including those,could differ from
our actual results,those anticipated in forward looking statements as result of factors,could differ materially from
our actual results,those anticipated in looking statements as result,could differ from
our actual results,those anticipated in statements,could differ from
our results,those anticipated in forward looking statements as result of factors including those,could differ from
our results,those anticipated in forward looking statements as result of certain factors,could differ from
our results,those anticipated in forward looking statements as result of factors,could differ materially from
our actual results,those anticipated as result,could differ materially from
our results,those,could differ from
our actual results,those anticipated in looking statements as result of certain factors,could differ materially from
our results,those anticipated in forward looking statements,could differ from
our results,those anticipated in looking statements as result of certain factors,could differ materially from
our results,those anticipated in statements as result of factors including those,could differ from
our actual results,those anticipated in forward looking statements as result,could differ from
our actual results,those anticipated in statements as result,could differ materially from
our results,those anticipated as result,could differ materially from
our actual results,those anticipated in statements as result of factors including those,could differ from
our results,those anticipated as result of certain factors,could differ from
risk factors,should considered carefully,should
following risk factors,should considered carefully,should
following risk factors,should considered,should
risk factors,should considered,should
summary,overview,provides
following summary,risks,overview of
following summary,overview of risks,provides
we,exposed,are
we,to normal course of our business activities,are exposed to
we,to normal course,are exposed to
summary,overview of material risks,provides
we,to course,are exposed to
following summary,material risks,overview of
summary,material risks,overview of
summary,overview of risks,provides
following summary,overview,provides
following summary,overview of material risks,provides
summary,risks,overview of
we,to course of our business activities,are exposed to
you,risk factors,read
you,full risk factors,read
we,you,encourage
you,full risk factors,read carefully
you,risk factors,read carefully
rate,use of technology by our clients,is in
use,business,is in
lower contractual revenues,future,is in
our work,government clients,is with
restrictive changes,our growth,may hamper
restrictive changes,our revenue,cause
our growth,immigration laws,restrictive changes to
changes,our revenue,cause
changes,our growth,may hamper
our growth,immigration laws,changes to
our revenues,results of operations,adverse changes
-5  adverse changes,our revenues,could adversely affect
our revenues,results of operations,changes
our revenues,results,adverse changes
our relationships,key alliance partners,is with
-5  adverse changes,our revenues,could affect
our revenues,results,changes
-5  changes,our revenues,could affect
-5  changes,our revenues,could adversely affect
services,existing services,enhance
we,services,anticipate
new services,existing services,enhance
new services,services,enhance
services,services,enhance
rapid changes,technology,is in
our business,we fail,will suffer
we,new services,anticipate
we,investments in facilities,are making
we,facilities,investments in
we,substantial investments in facilities,are making
we,facilities,substantial investments in
we,new facilities,substantial investments in
substantial investments,new facilities,is in
we,new facilities,investments in
we,investments,are making
we,investments in new facilities,are making
we,substantial investments,are making
we,substantial investments in new facilities,are making
our contracts,then could unprofitable,could
our contracts,could unprofitable,could
wage increases,india,is in
our competitive advantage companies,states,located in
our advantage companies,united states,located in
our competitive advantage companies,united states,located in
our advantage companies,states,located in
we,if unable,are
our profitability,if unable,could suffer
our profitability,unable,could suffer
we,unable,are
our success,strength of our management team,depends upon
our success,strength,depends upon
our success,part,depends in
our success,large part,depends in
we,to attract,fail
we,attract,fail
